Resource - Unit,[>] URL,Time (mins),Status,[>] Audio URL,[>] Authors,[>] Type,[>] Year,[>] Resource name,Order,Guide,[>] Chunk,[>] Course (from [>] Chunk),[>] Unit (from Chunk)
Seeking Stability in the Competition for AI Advantage - ,https://www.rand.org/pubs/commentary/2025/03/seeking-stability-in-the-competition-for-ai-advantage.html,15,Core,,"Rehman, Mueller, and Mazarr",Article,2025,Seeking Stability in the Competition for AI Advantage,1,"This RAND article describes some of the international dynamics driving the race to AGI between the US and China, and analyses whether nuclear deterrence logic applies to this race.",Steering the race to AGI,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
Preparing for Launch - ,https://ifp.org/preparing-for-launch/,30,Core,,"Tim Fist, Tao Burga, and Tim Hwang",Blog,2025,Preparing for Launch,1,The Institute for Progress lays out how the US Government could shape the development of AI towards human flourishing by accelerating beneficial AI applications and defences against societal harms.,Imagining a better future,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
It’s practically impossible to run a big AI company ethically - ,https://archive.ph/9DCPq,15,Core,,Sigal Samuel,Article,2024,It’s practically impossible to run a big AI company ethically,2,"Even ""safety-first"" AI companies like Anthropic face market pressure that can override ethical commitments. This article demonstrates the constraints facing AI companies, and why voluntary corporate governance can't solve coordination problems alone. ",Steering the race to AGI,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
The Gentle Singularity - ,https://blog.samaltman.com/the-gentle-singularity,10,Core,,Sam Altman ,Blog,2025,The Gentle Singularity,2,"This blog post offers a vivid, optimistic vision of rapid AI progress from the CEO of OpenAI. Altman suggests that the accelerating technological change will feel ""impressive but manageable,"" and that there are serious challenges to confront.",Imagining a better future,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
Solarpunk: A Vision for a Sustainable Future - ,https://newintrigue.com/2025/01/29/solarpunk-a-vision-for-a-sustainable-future/,10,Core,,Joshua Krook,Blog,2025,Solarpunk: A Vision for a Sustainable Future,3,"What might sustainable human progress look like, beyond pure technological acceleration? This essay provides an alternative vision, based on communities living in greater harmony with each other and with nature, alongside advanced technologies. ",Imagining a better future,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
In search of a dynamist vision for safe superhuman AI - ,https://helentoner.substack.com/p/dynamism-vs-stasis,15,Core,,Helen Toner,Blog,2025,In search of a dynamist vision for safe superhuman AI,3,"This essay describes AI safety policies that rely on centralised control (surveillance, fewer AI projects, licensing regimes) as ""stasist"" approaches that sacrifice innovation for stability. Toner argues we need ""dynamist"" solutions to the risks from AI that allow for decentralised experimentation, creativity and risk-taking. ",Steering the race to AGI,AGI Strategy,AGI Strategy - 1: Racing to a Better Future
The AI Revolution: The Road to Superintelligence - ,https://waitbutwhy.com/2015/01/artificial-intelligence-revolution-1.html,25,Core,,Tim Urban,Blog,2015,The AI Revolution: The Road to Superintelligence,1,"Tim Urban uses vivid historical analogies to show why AI progress accelerates much faster than we intuitively expect, building toward the concept of an ""intelligence explosion"" where AI systems could rapidly self-improve from human-level to superintelligent - a scenario that could fundamentally shift global power dynamics.",Intelligence explosion,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
Scaling: The State of Play in AI - ,https://www.oneusefulthing.org/p/scaling-the-state-of-play-in-ai,15,Core,,Ethan Mollick,,2024,Scaling: The State of Play in AI,1,"This post explains the ""scaling laws"" that drive rapid AI progress: when you make AI models bigger and train them with more computing power, they get smarter at most tasks. The piece also introduces a second scaling law, where AI performance improves by spending more time ""thinking"" before responding.",Technical trends driving AI progress,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
Governance of superintelligence - ,https://openai.com/index/governance-of-superintelligence/,5,Core,,"Sam Altman, Greg Brockman, Ilya Sutskever",,2023,Governance of superintelligence,1,"OpenAI's leadership outline how humanity might govern superintelligence, proposing international oversight with inspection powers similar to nuclear regulation. They argue the AI systems arriving this decade will be ""more powerful than any technology yet created"" and their control cannot be left to individual companies alone.",What should we do with all this power?,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
Trends in AI: Training Costs and Diffusion Speed - ,https://dewierwan.github.io/ai-training-diffusion,10,Core,,Dewi Erwan ,Website,2025,Trends in AI: Training Costs and Diffusion Speed,2,"Use these graphs to analyse how much compute is being used to train frontier AI models, and how quickly those capabilities diffuse due to improvements in hardware and algorithms. ",Technical trends driving AI progress,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
The Most Important Time in History Is Now - ,https://unchartedterritories.tomaspueyo.com/p/the-most-important-time-in-history-agi-asi,30,Core,,Tomas Pueyo,Blog,2025,The Most Important Time in History Is Now,2,"This blog post traces AI's rapid leap from high school to PhD-level intelligence in just two years, examines whether physical bottlenecks like computing power can slow this acceleration, and argues that recent efficiency breakthroughs suggest we're entering an intelligence explosion toward artificial general intelligence within years.",Intelligence explosion,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
d/acc: one year later - ,https://vitalik.eth.limo/general/2025/01/05/dacc2.html,30,Core,,Vitalik Buterin,,2025,d/acc: one year later,2,"Ethereum founder Vitalik Buterin describes how democratic, defensive and decentralised technologies could distribute AI's power across society rather than concentrating it, offering a middle path between unchecked technical acceleration and authoritarian control.",What should we do with all this power?,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
"""""""Long"""" timelines to advanced AI have gotten crazy short"" - ",https://helentoner.substack.com/p/long-timelines-to-advanced-ai-have,10,Core,,Helen Toner,,2025,"""Long"" timelines to advanced AI have gotten crazy short",3,"Helen Toner, former OpenAI board member, reveals how the entire AI timeline debate has compressed: even conservative experts who once dismissed advanced AI concerns now predict human-level systems within decades, demonstrating that rapid AI progress has shifted from a fringe prediction to mainstream expert consensus.",Intelligence explosion,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
Measuring AI Ability to Complete Long Tasks - ,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,10,Core,,Thomas Kwa et al.,,2025,Measuring AI Ability to Complete Long Tasks,4,,Intelligence explosion,AGI Strategy,AGI Strategy - 2: The Rapid Proliferation of Power
Catastrophic AI Scenarios - ,https://futureoflife.org/resource/catastrophic-ai-scenarios/,5,Core,,Ben Eisenpress,,2024,Catastrophic AI Scenarios,1,"The Future of Life Institute show how existing AI can already help to design bioweapons, amplify cyberattacks, and deceive human. Each threat is backed by existing evidence. This gives you concrete examples to draw from when mapping your own threat scenarios.",Map the threat landscape,AGI Strategy,AGI Strategy - 3: Pathways to Harm
We're Not Ready for Superintelligence (AI 2027 Summary) - ,https://www.youtube.com/watch?v=5KVDDfAkRgc,35,Core,,Aric Floyd,,2025,We're Not Ready for Superintelligence (AI 2027 Summary),1,,Option 1: Power concentration,AGI Strategy,AGI Strategy - 3: Pathways to Harm
The Future of Phishing - ,https://civai.org/p/email-phishing,10,Core,,CivAI,,2025,The Future of Phishing,1,,Option 2: Critical infrastructure attacks,AGI Strategy,AGI Strategy - 3: Pathways to Harm
