Title,[>] Unit,[>] Unit URL,Order,[*] Time (mins),Content,[>] Course,[>] Resources,[>] Exercises
Imagining a better future,AGI Strategy - 1: Racing to a Better Future,https://bluedot.org/courses/agi-strategy/1,1,50,"You’re the product of 8,000 generations of humans. You were born into the civilization they built, with all its magic, beauty and flaws. Their decisions shape every aspect of our world.

We’re only the latest generation of humans, but we’re living through one of the most significant technological transformation in the history of the universe.

Our decisions today will have an immense impact on our own future, and the future of all our descendants.

We may still be early in humanity’s story. We have an amazing opportunity to steer this story towards wonder, greatness and kindness. But that's not guaranteed.

In this unit, you’ll visualise a future to aspire towards, you’ll explore how AI is shaping that future, and you’ll analyse the dilemmas and coordination failures we must overcome to steer towards a better future.",AGI Strategy,"Preparing for Launch - ,The Gentle Singularity - ,Solarpunk: A Vision for a Sustainable Future - ",AGI Strategy | Unit  prompt - Provocations
Steering the race to AGI,AGI Strategy - 1: Racing to a Better Future,https://bluedot.org/courses/agi-strategy/1,3,45,"You've just imagined futures worth protecting. But those futures aren't guaranteed - they depend in part on the decisions being made right now by the people racing to build AGI, who often have incentives that push away from thoughtful development.

Here, you’ll learn more about the actors shaping the future of AI, including their goals and constraints.",AGI Strategy,"In search of a dynamist vision for safe superhuman AI - ,It’s practically impossible to run a big AI company ethically - ,Seeking Stability in the Competition for AI Advantage - ",AGI Strategy | Unit  prompt - Provocations
What future do you want?,AGI Strategy - 1: Racing to a Better Future,https://bluedot.org/courses/agi-strategy/1,2,20,,AGI Strategy,,"AGI Strategy | Unit  prompt - What does a better future for yourself look like? ,AGI Strategy | Unit  prompt - What does a better future look like for society? "
The characters,AGI Strategy - 1: Racing to a Better Future,https://bluedot.org/courses/agi-strategy/1,4,10,,AGI Strategy,,AGI Strategy | Unit  prompt - The actors shaping the future of AI
Technical trends driving AI progress,AGI Strategy - 2: The Rapid Proliferation of Power,https://bluedot.org/courses/agi-strategy/2,1,25,"What should we do if superhuman intelligence becomes ""too cheap to meter""?

In this unit, we examine why AI capabilities keep getting better: cheaper and more plentiful compute, and better algorithms. We then analyse what that implies for the rate of future AI capabilities, and how quickly those capabilities will spread to many actors all over the world.",AGI Strategy,"Scaling: The State of Play in AI - ,Trends in AI: Training Costs and Diffusion Speed - ",
Intelligence explosion,AGI Strategy - 2: The Rapid Proliferation of Power,https://bluedot.org/courses/agi-strategy/2,2,75,"Let an ultraintelligent machine be defined as a machine that can far surpass all the intellectual activities of any man however clever. Since the design of machines is one of these intellectual activities, an ultraintelligent machine could design even better machines; there would then unquestionably be an 'intelligence explosion.'

— Irving J Good, 1965",AGI Strategy,"""""""""""""""Long"""""""" timelines to advanced AI have gotten crazy short"""" - "",Measuring AI Ability to Complete Long Tasks - ,The Most Important Time in History Is Now - ,The AI Revolution: The Road to Superintelligence - ",
What should we do with all this power?,AGI Strategy - 2: The Rapid Proliferation of Power,https://bluedot.org/courses/agi-strategy/2,4,35,,AGI Strategy,"Governance of superintelligence - ,d/acc: one year later - ",
Will AI progress accelerate even faster?,AGI Strategy - 2: The Rapid Proliferation of Power,https://bluedot.org/courses/agi-strategy/2,3,25,,AGI Strategy,,"AGI Strategy | Unit  prompt - Arguing against the intelligence explosion,AGI Strategy | Unit  prompt - Why are AI capabilities advancing at such a rapid rate?"
Map the threat landscape,AGI Strategy - 3: Pathways to Harm,https://bluedot.org/courses/agi-strategy/3,1,65,"The future could be amazing. You described it yourself in the first unit. That future might not happen by default. We have a tremendous opportunity and responsibility to make that future a reality for ourselves, everyone we know and love, and the rest of humanity.

If we don’t know what threatens that future, we’re flying blind.

Here, we’ll offer a sketch of the territory. This includes the things we’re protecting, who or what might attack them, and how they might try. 

This is not intended to be a perfect overview: treat it like a starting point for your thinking.",AGI Strategy,"Reframing AGI Threat Models - ,Catastrophic AI Scenarios - ,AI Is Reviving Fears Around Bioterrorism. What’s the Real Risk? - ,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power - ,Can Democracy Survive the Disruptive Power of AI? - ,Most common AI-powered cyberattacks - ,AI-assisted targeting in the Gaza Strip - ,AI Could Defeat All Of Us Combined - ,""""""CBRN evaluations, Claude Opus 4 System Card"""" - """,
Option 1: Power concentration,AGI Strategy - 3: Pathways to Harm,https://bluedot.org/courses/agi-strategy/3,3,70,"You can imagine power concentration from AI as spanning a continuum between extreme human control and extreme AI control.

On the human end, a powerful human actor might use AI to manipulate elections, pervert the information ecosystem, establish pervasive surveillance mechanisms, and establish direct control over an automated military force.

On the AI end, a misaligned AI system might pretend to behave in accordance with its developer’s interests, subtly shape how people act and think through the millions of interactions it has with humans every day, set up remote companies to accrue financial wealth, and gradually establish control over critical infrastructure and institutions.",AGI Strategy,"Evaluating Frontier Models for Stealth and Situational Awareness - ,The AI Revolution: Our Immortality or Extinction - ,We're Not Ready for Superintelligence (AI 2027 Summary) - ,Alignment faking in large language models - ,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power - ","""AGI Strategy, AGI Strategy, AGI Strategy | Unit  prompt - Create a step-by-step breakdown of the threat"""
